iter	Logloss
0	0.6637184045
1	0.6367136666
2	0.6151800677
3	0.5938047977
4	0.5740607341
5	0.56023933
6	0.5436632083
7	0.5284064689
8	0.5169943371
9	0.509889647
10	0.4983370452
11	0.4886561847
12	0.4798055267
13	0.4711523734
14	0.4618104624
15	0.4537032333
16	0.4478382461
17	0.4361957047
18	0.4277022729
19	0.422567676
20	0.4133945426
21	0.4027284704
22	0.3975466385
23	0.3913654336
24	0.386907069
25	0.3790881719
26	0.373403975
27	0.369849927
28	0.365590405
29	0.3620338253
30	0.3587050875
31	0.3537633817
32	0.3500998919
33	0.3479741597
34	0.3452195926
35	0.3433881295
36	0.3400052213
37	0.3368780619
38	0.3328925324
39	0.3302794931
40	0.3284304341
41	0.3267316569
42	0.3244150242
43	0.3229447519
44	0.3196344217
45	0.3163660811
46	0.3133888919
47	0.3114638257
48	0.3100220916
49	0.3089234186
50	0.3059722933
51	0.3021956384
52	0.3004580621
53	0.2987536553
54	0.2966807774
55	0.2955211316
56	0.2948336523
57	0.2911233735
58	0.2894261839
59	0.2874451982
60	0.2850251921
61	0.282986848
62	0.2806206309
63	0.2787529322
64	0.2771033012
65	0.2761910983
66	0.273415777
67	0.2725431655
68	0.271006056
69	0.2681128576
70	0.2663833842
71	0.265062052
72	0.2620703594
73	0.260410951
74	0.2587197297
75	0.257618278
76	0.2556438113
77	0.2547560681
78	0.2532126983
79	0.2520164885
80	0.2509003854
81	0.2483260412
82	0.2478900182
83	0.2467234599
84	0.2462012586
85	0.2443819005
86	0.2423201066
87	0.2404069065
88	0.2400584541
89	0.2396473199
90	0.2388181418
91	0.2376293542
92	0.2357682363
93	0.233754328
94	0.2312470317
95	0.2311030974
96	0.2300544454
97	0.2273116601
98	0.2251220367
99	0.2228667298
100	0.2208528256
101	0.2183931324
102	0.2164475264
103	0.215040802
104	0.2132186055
105	0.211011038
106	0.2092362747
107	0.2069190204
108	0.2050145972
109	0.2048861725
110	0.2036082813
111	0.2023281746
112	0.2014873467
113	0.2008939844
