iter	Passed	Remaining
0	48	96152
1	49	49673
2	51	34074
3	52	26273
4	54	21578
5	55	18443
6	56	16219
7	58	14552
8	59	13223
9	61	12150
10	62	11308
11	63	10584
12	65	9971
13	66	9442
14	67	8985
15	69	8580
16	70	8226
17	71	7909
18	73	7627
19	74	7375
20	75	7142
21	77	6931
22	78	6741
23	79	6563
24	81	6400
25	82	6248
26	83	6108
27	84	5975
28	86	5860
29	87	5745
30	88	5636
31	90	5537
32	91	5447
33	92	5359
34	93	5276
35	95	5197
36	96	5122
37	97	5053
38	99	4989
39	100	4925
40	101	4864
41	103	4808
42	104	4751
43	105	4699
44	107	4648
45	108	4601
46	109	4554
47	110	4510
48	112	4468
49	113	4426
50	114	4385
51	116	4349
52	117	4312
53	118	4276
54	119	4242
55	121	4208
56	122	4175
57	123	4148
58	125	4119
59	126	4090
60	127	4062
61	129	4035
62	130	4009
63	131	3985
64	133	3961
65	134	3937
66	135	3914
67	136	3891
68	138	3869
69	139	3848
70	140	3826
71	142	3806
72	143	3787
73	144	3768
74	146	3749
75	147	3730
76	148	3711
77	149	3693
78	151	3676
79	152	3659
80	153	3642
81	155	3627
82	156	3611
83	157	3596
84	158	3581
85	160	3567
86	161	3554
87	162	3540
88	164	3526
89	165	3512
90	166	3502
91	168	3493
92	169	3483
93	171	3474
94	172	3463
95	174	3452
96	175	3441
97	176	3432
98	178	3423
99	179	3418
100	181	3408
101	182	3399
102	184	3388
103	185	3379
104	186	3370
105	188	3360
106	189	3351
107	190	3342
108	192	3333
109	193	3324
110	194	3315
111	196	3306
112	197	3297
113	198	3288
