user_id,item_id
4031504,1320740 3274820 3016021 1253055 1393142 404685 3548788 34701 2196379 2589865 2965196 2276213 2160400 2154931 1142955 3459101 835441 1727197 699803 1872983
8308828,1451850 3096625 865769 1926684 1214994 2503185 951225 692884 2847516 726716 1429573 1152110 1168934 2142669 1970492 1798490 1601112 761837 2248314 488974
8689388,1208695 2702765 3267315 2402908 2169894 1411401 784719 1303397 2986803 2498372 3166457 878276 2061487 3006756 1002236 3386555 3139092 2535583 3352048 3433718
6240176,348922 2747417 757660 3276380 3129232 3299232 1914352 1061715 1112005 1923433 834639 1690330 1300372 290926 3166261 1090870 3462698 420175 1690320 3242979
9520248,1451850 3096625 865769 1926684 1214994 2503185 951225 692884 2847516 726716 1429573 1152110 1168934 2142669 1970492 1798490 1601112 761837 2248314 488974
1826216,1782376 158778 3207019 207736 3386658 1273055 500949 2475379 90360 3195304 3378330 403011 2637286 2983177 1545324 172681 558265 3177228 2923544 542937
9029108,1451850 3096625 865769 1926684 1214994 2503185 951225 692884 2847516 726716 1429573 1152110 1168934 2142669 1970492 1798490 1601112 761837 2248314 488974
5818924,1451850 3096625 865769 1926684 1214994 2503185 951225 692884 2847516 726716 1429573 1152110 1168934 2142669 1970492 1798490 1601112 761837 2248314 488974
6648500,1529682 2829518 1780850 2812592 3217629 1663315 2282385 2293142 1769360 827654 768909 1045385 533859 2352570 465426 2638706 2287327 3423476 1421009 1787905
8462588,692884 2881356 3272268 1639877 427987 253163 1981182 2674534 2320528 3068641 1031254 2541444 267928 3029447 2963863 2877833 1050703 485298 3054268 101383
8379688,1451850 3096625 865769 1926684 1214994 2503185 951225 692884 2847516 726716 1429573 1152110 1168934 2142669 1970492 1798490 1601112 761837 2248314 488974
4985204,1451850 3096625 865769 1926684 1214994 2503185 951225 692884 2847516 726716 1429573 1152110 1168934 2142669 1970492 1798490 1601112 761837 2248314 488974
2303368,1451850 3096625 865769 1926684 1214994 2503185 951225 692884 2847516 726716 1429573 1152110 1168934 2142669 1970492 1798490 1601112 761837 2248314 488974
7343520,1451850 3096625 865769 1926684 1214994 2503185 951225 692884 2847516 726716 1429573 1152110 1168934 2142669 1970492 1798490 1601112 761837 2248314 488974
8584608,1451850 3096625 865769 1926684 1214994 2503185 951225 692884 2847516 726716 1429573 1152110 1168934 2142669 1970492 1798490 1601112 761837 2248314 488974
6184900,1214994 1883793 2116332 1887082 2485279 594100 1441479 1815438 1699316 132042 3130130 3336408 3418422 2747149 388037 1261203 1230303 1196432 3417984 235385
6644160,2431392 2011286 463067 2352106 145286 1525644 635307 698740 2965060 2220053 341703 1340945 3358313 1339823 2811451 1176482 2153847 2738664 1298621 2812592
1102688,1562714 834735 1932826 2347067 1905880 2321287 660660 16755 2067239 2352106 3009946 707360 459089 2772601 3151844 1268624 1886096 834639 878276 3267315
